ccg,row_id,row_name,date,Short-acting insulins_items,Short-acting insulins_actual_cost,Intermediate and long-acting insulins_items,Intermediate and long-acting insulins_actual_cost,Sulfonylureas_items,Sulfonylureas_actual_cost,Biguanides_items,Biguanides_actual_cost,Other antidiabetic drugs_items,Other antidiabetic drugs_actual_cost,Treatment of hypoglycaemia_items,Treatment of hypoglycaemia_actual_cost,Diabetic diagnostic and monitoring agents_items,Diabetic diagnostic and monitoring agents_actual_cost
15F,B86003,DR G LEES & PARTNERS,2021/4/1,41,1927.85,89,3841.21,244,558.51,606,2271.2,311,9543.77,4,23.79,164,2411.79
15F,B86003,DR G LEES & PARTNERS,2021/5/1,39,1574.45,88,3853.21,230,558.39,563,2063.98,299,9787.15,5,49.96,150,1973.27
15F,B86003,DR G LEES & PARTNERS,2021/6/1,55,2493.35,106,4693.37,244,578.63,634,2393.3,326,10060.92,6,52.22,141,2031.67
15F,B86003,DR G LEES & PARTNERS,2021/7/1,39,1638.92,93,4109.07,244,549.87,602,2019.57,323,10221.61,4,61.61,158,1890.84
15F,B86003,DR G LEES & PARTNERS,2021/8/1,48,2025.8,104,4368.39,263,584.31,640,2042.24,358,10477.99,1,6.69,174,2501.48
15F,B86003,DR G LEES & PARTNERS,2021/9/1,47,2043.85,102,4714.91,240,526.59,610,2139.7,347,10437.05,3,17.4,157,2181.12
15F,B86003,DR G LEES & PARTNERS,2021/10/1,40,1725.17,99,4116.23,254,526.78,616,1859.5,353,10262.27,7,52.91,152,2183.55
15F,B86003,DR G LEES & PARTNERS,2021/11/1,45,2042.59,109,4385.02,234,483.96,622,2121.37,355,10801.54,5,48.28,172,2619.13
15F,B86003,DR G LEES & PARTNERS,2021/12/1,51,2079.96,105,4865.45,248,565.33,635,1957.55,378,12530.89,7,75.67,159,2098.02
15F,B86003,DR G LEES & PARTNERS,2022/1/1,55,2200.39,104,4660.91,211,409.57,608,1613.58,349,10182.37,4,26.57,149,2059.09
15F,B86003,DR G LEES & PARTNERS,2022/2/1,40,1746.35,92,4224.66,228,450.06,587,1544.42,372,11986.72,5,33.58,152,2120.88
15F,B86003,DR G LEES & PARTNERS,2022/3/1,49,2205.93,116,4842.34,242,487.12,642,1668.95,407,12596.62,4,24.16,182,2526.52
15F,B86003,DR G LEES & PARTNERS,2022/4/1,44,1890.33,111,4775.05,231,455.21,659,1713.39,418,12461.51,1,6.71,174,2417.15
15F,B86003,DR G LEES & PARTNERS,2022/5/1,49,2007.76,110,4760.13,239,467.44,647,1623.65,438,13754.46,4,55.11,159,2130.16
15F,B86003,DR G LEES & PARTNERS,2022/6/1,53,2122.19,113,4859.31,214,419.6,658,1609.58,458,12795.3,7,93.31,170,2234.14
15F,B86003,DR G LEES & PARTNERS,2022/7/1,43,1853.2,84,3437.99,226,443.02,635,1557.44,437,13616.8,3,35.85,150,2032.38
15F,B86003,DR G LEES & PARTNERS,2022/8/1,49,2017.17,100,4740.05,216,382.63,654,1772.5,447,12511.22,4,42.53,151,2323.02
15F,B86003,DR G LEES & PARTNERS,2022/9/1,47,2125.64,97,4255.36,214,377.82,628,1642.9,457,12747.01,5,69.05,158,2190.71
15F,B86003,DR G LEES & PARTNERS,2022/10/1,39,1684,94,4225.09,219,354.63,651,1649.34,459,13341.22,2,33.18,145,1984.42
15F,B86003,DR G LEES & PARTNERS,2022/11/1,59,2642.69,111,5083.11,240,399.12,671,1669.92,465,13544.2,4,49.24,172,2309.7
15F,B86003,DR G LEES & PARTNERS,2022/12/1,65,2665.82,93,3969.19,221,408.39,666,1996.9,451,13891.98,8,96.46,175,2511.89
15F,B86003,DR G LEES & PARTNERS,2023/1/1,58,2306.26,115,5379.64,238,477.46,689,1997.48,486,13460.56,5,48.82,174,2454.66
15F,B86003,DR G LEES & PARTNERS,2023/2/1,52,2290.81,98,4119.89,223,436.6,648,1936.14,464,13169.09,8,101.12,171,2224.21
15F,B86003,DR G LEES & PARTNERS,2023/3/1,50,1979.83,115,4762.3,240,472.9,724,2125.52,515,15488.28,4,57.56,173,2221.03
15F,B86003,DR G LEES & PARTNERS,2023/4/1,49,2165.54,101,4645.09,235,523.34,684,1862.75,494,14096.31,5,114.81,177,2342.23
15F,B86003,DR G LEES & PARTNERS,2023/5/1,44,1866.85,88,3588.1,250,483.9,729,2155.06,545,15870.68,4,49.6,159,1949.25
15F,B86003,DR G LEES & PARTNERS,2023/6/1,59,2446.94,99,4368.22,249,558.29,708,2072.27,526,15714,4,41.95,180,2354.46
15F,B86003,DR G LEES & PARTNERS,2023/7/1,43,1892.45,86,4055.2,212,380.15,658,1776.98,510,14180.26,1,6.72,170,2262.23
15F,B86003,DR G LEES & PARTNERS,2023/8/1,60,2381.64,98,4049.13,254,490.66,748,2048.39,548,15197.25,3,35.91,171,2033.09
15F,B86003,DR G LEES & PARTNERS,2023/9/1,44,1887.37,94,4009.39,226,470.75,672,2168.15,505,14431.12,10,178.47,186,2386.87
15F,B86003,DR G LEES & PARTNERS,2023/10/1,58,2417.55,113,4933.94,228,453.6,681,2181.18,491,13885.35,5,64.24,173,1962.78
15F,B86003,DR G LEES & PARTNERS,2023/11/1,53,2028.35,108,4157.33,248,444.57,703,2186.95,524,15543.62,4,46,189,2095.21
15F,B86003,DR G LEES & PARTNERS,2023/12/1,55,2196,103,4504.6,232,419.79,666,1977.15,483,14170.07,5,48.67,158,1862.75
15F,B86003,DR G LEES & PARTNERS,2024/1/1,58,2432.33,100,4437.72,247,459.7,703,2182.06,511,13662.98,13,132.27,185,1958.36
15F,B86003,DR G LEES & PARTNERS,2024/2/1,58,2350.3,91,4022.25,253,462.01,654,1921.29,496,13803.51,4,41.74,170,1642.08
15F,B86003,DR G LEES & PARTNERS,2024/3/1,59,2342.04,93,3992.53,242,462.81,654,1992.71,508,14207.46,3,20.25,149,1626.04
15F,B86003,DR G LEES & PARTNERS,2024/4/1,56,2451.1,104,4859.77,236,351.17,657,1605.92,519,14592.36,5,56.85,188,2005.7
15F,B86003,DR G LEES & PARTNERS,2024/5/1,58,2695.94,108,4857.05,253,434.59,689,1951.93,571,16698.39,5,59.78,214,2097.5
15F,B86003,DR G LEES & PARTNERS,2024/6/1,57,2344.03,94,4272.65,227,331.54,651,1870.26,537,15375.79,4,59.76,166,1779.55
15F,B86003,DR G LEES & PARTNERS,2024/7/1,67,2929.52,125,5316.19,244,448.05,728,2423.08,605,17431.41,1,23.06,185,1927.82
15F,B86003,DR G LEES & PARTNERS,2024/8/1,61,2552.53,117,5328.45,235,395.79,699,2445.69,614,18118.65,7,68.68,179,1917.62
15F,B86003,DR G LEES & PARTNERS,2024/9/1,56,2181.24,108,4632.33,217,389.48,673,2382.76,580,17173.95,5,50.32,170,1684.73
15F,B86003,DR G LEES & PARTNERS,2024/10/1,56,2564.02,96,4259.11,232,328.39,700,2387.55,617,17723.02,4,50.31,174,1715.59
15F,B86003,DR G LEES & PARTNERS,2024/11/1,55,2362.27,113,4778.92,219,330.71,693,2371.31,619,19222.41,7,84.93,192,2146.49
15F,B86003,DR G LEES & PARTNERS,2024/12/1,81,3375.79,121,5029.41,223,310.81,743,2472.88,650,19864.3,8,97.97,175,1914.47
15F,B86003,DR G LEES & PARTNERS,2025/1/1,61,2571.86,111,4852.79,227,386.09,702,2177.89,649,19126.48,8,108.89,201,2221.97
15F,B86003,DR G LEES & PARTNERS,2025/2/1,63,2654.35,93,4105.41,209,313.47,648,1619.77,604,17105.44,5,57.12,185,2184.17
15F,B86003,DR G LEES & PARTNERS,2025/3/1,54,2593.85,92,4333.99,215,357.56,736,2024.34,673,20284.97,8,91.17,182,2025.1
15F,B86003,DR G LEES & PARTNERS,2025/4/1,64,2639.48,97,4356.37,214,362.41,674,1504.25,646,19217.54,7,84.66,181,1835.38
15F,B86003,DR G LEES & PARTNERS,2025/5/1,62,2812.76,104,4523.06,197,344.34,709,1775.11,697,22171.75,5,70.45,166,1731.55
15F,B86004,HIGHFIELD SURGERY,2020/6/1,20,836.09,35,1277.42,54,285.73,142,880.91,111,6507.55,8,93.55,75,1828.95
15F,B86004,HIGHFIELD SURGERY,2020/7/1,23,1018.4,34,1341.38,54,249.73,162,1227.47,129,8349.97,5,41.38,67,1450.89
15F,B86004,HIGHFIELD SURGERY,2020/8/1,20,1014.13,23,853.08,52,238.1,131,1028.44,117,8224.57,5,65.51,63,1436.82
15F,B86004,HIGHFIELD SURGERY,2020/9/1,24,1002.09,32,1331.57,60,269.9,145,1043.81,125,7837.61,7,63.39,51,1304.19
15F,B86004,HIGHFIELD SURGERY,2020/10/1,24,915.58,34,1501.78,50,244.4,140,1094.03,120,8445.7,6,65.41,78,1692.09
15F,B86004,HIGHFIELD SURGERY,2020/11/1,22,904.35,30,1106.47,43,176,128,1016.98,110,7562.55,7,121.75,55,1267.95
15F,B86004,HIGHFIELD SURGERY,2020/12/1,23,688.28,38,1370.56,57,252.31,147,1087.34,113,7680.38,2,13.34,76,1843.06
15F,B86004,HIGHFIELD SURGERY,2021/1/1,18,718.76,37,1558.85,46,202.62,144,1036.71,118,7990.59,3,26.69,66,1404.12
15F,B86004,HIGHFIELD SURGERY,2021/2/1,28,1213.51,33,1370.59,45,215.92,137,982.08,114,7555.14,6,68.23,61,1417.44
15F,B86004,HIGHFIELD SURGERY,2021/3/1,22,959.98,35,1401.89,60,235.27,157,1051.72,129,8056.38,9,78.93,77,1807.38
15F,B86004,HIGHFIELD SURGERY,2021/4/1,26,1047.79,33,1615.79,57,272.62,143,954.62,142,10179.51,3,26.71,84,1866.96
15F,B86004,HIGHFIELD SURGERY,2021/5/1,17,560.79,31,1230.92,57,226.05,130,821.4,112,7494.33,2,13.37,64,1462.66
15F,B86004,HIGHFIELD SURGERY,2021/6/1,29,1080.52,33,1440.11,47,193.83,148,928.05,134,8942.74,3,17.38,73,1791.43
15F,B86004,HIGHFIELD SURGERY,2021/7/1,22,813.15,35,1594.58,63,264.5,148,831.77,144,9815.11,2,10.71,62,1492.15
15F,B86004,HIGHFIELD SURGERY,2021/8/1,24,960.8,34,1432.23,59,232.87,144,864.72,128,8105.39,7,61.65,77,1748.9
15F,B86004,HIGHFIELD SURGERY,2021/9/1,24,1170.22,31,1318.91,63,239.29,139,743.7,144,10462.39,2,13.38,63,1355.72
15F,B86004,HIGHFIELD SURGERY,2021/10/1,25,944.95,37,1503.43,59,237.96,156,843.55,146,8725.8,2,14.78,57,1344.93
15F,B86004,HIGHFIELD SURGERY,2021/11/1,20,990.51,24,1030.81,59,234.09,146,783.07,138,8673.21,2,20.06,52,1296.32
15F,B86004,HIGHFIELD SURGERY,2021/12/1,24,1079.04,40,1639.6,57,217.07,145,734.74,135,8916.78,4,41.57,62,1190.92
15F,B86004,HIGHFIELD SURGERY,2022/1/1,29,1148.9,31,1165.24,60,211.77,143,712.6,120,7588.11,1,21.58,50,1169.69
15F,B86004,HIGHFIELD SURGERY,2022/2/1,22,840.99,28,1283.44,52,154.18,126,579.56,137,8355.6,4,44.3,52,1146.94
15F,B86004,HIGHFIELD SURGERY,2022/3/1,24,1039.64,42,1647.4,56,199.31,158,778.32,146,9595.96,5,44.33,57,1371.01
15F,B86004,HIGHFIELD SURGERY,2022/4/1,26,1172.51,34,1385.32,56,189.22,142,684.17,156,10933.52,3,28.25,54,1346.77
15F,B86004,HIGHFIELD SURGERY,2022/5/1,23,927.55,37,1378.52,59,199.37,133,555.56,139,8808.84,2,14.84,63,1326.52
15F,B86004,HIGHFIELD SURGERY,2022/6/1,19,815.39,34,1428.79,61,198.2,164,727.68,169,9915.79,4,40.24,57,1116.58
15F,B86004,HIGHFIELD SURGERY,2022/7/1,32,1394.9,39,1553.43,55,186.34,164,601.27,151,8896.24,5,41.65,54,1041.92
15F,B86004,HIGHFIELD SURGERY,2022/8/1,19,708.44,34,1583.55,69,189.31,162,861.89,162,10944.87,9,76.61,67,1540.31
15F,B86004,HIGHFIELD SURGERY,2022/9/1,27,982.52,45,1699.15,56,155.96,135,503.54,145,8854.26,6,56.5,60,1157.43
15F,B86004,HIGHFIELD SURGERY,2022/10/1,26,1216.28,28,1117.6,64,207.3,153,949.78,150,9909.26,7,83.27,56,1018.64
15F,B86004,HIGHFIELD SURGERY,2022/11/1,32,1484.99,42,1726.15,58,155.02,153,702.87,149,9420.97,4,33.25,58,1059.51
15F,B86004,HIGHFIELD SURGERY,2022/12/1,26,987.21,37,1365.95,57,193.01,155,1220.7,145,8600.76,5,44.01,45,979.72
15F,B86004,HIGHFIELD SURGERY,2023/1/1,29,992.05,42,1590.16,58,191.11,164,790.4,175,11748.97,7,64.29,61,1039.24
15F,B86004,HIGHFIELD SURGERY,2023/2/1,28,1009.27,37,1378.48,52,167.24,165,840.86,149,9008.29,3,45.89,56,906.76
15F,B86004,HIGHFIELD SURGERY,2023/3/1,32,1190.06,47,1853.99,79,244,182,973.51,175,10596.81,3,33.6,67,1180.47
15F,B86004,HIGHFIELD SURGERY,2023/4/1,28,908.05,38,1358.46,64,219.24,160,550.73,164,9854.18,8,86.28,60,1002.83
15F,B86004,HIGHFIELD SURGERY,2023/5/1,29,1136.45,46,1929.09,64,181.62,183,637.87,173,10064.45,2,25.78,46,851.29
15F,B86004,HIGHFIELD SURGERY,2023/6/1,40,1500.4,43,1696.77,74,247.02,206,1087.29,197,11949.74,8,82.1,70,1255.34
15F,B86004,HIGHFIELD SURGERY,2023/7/1,33,1194.25,40,1528.87,71,186.18,161,572.17,178,9870.37,8,128.66,52,955.08
15F,B86004,HIGHFIELD SURGERY,2023/8/1,29,1229.66,34,1367.56,61,187.47,191,783.89,169,8817.54,7,112.9,60,927.49
15F,B86004,HIGHFIELD SURGERY,2023/9/1,28,1079.23,34,1396.68,85,239.93,199,1028.36,186,9853.57,8,106.04,68,1089.78
15F,B86004,HIGHFIELD SURGERY,2023/10/1,29,1081.02,42,1545.82,74,196.7,191,723.63,181,9275.28,6,66.97,56,941.52
15F,B86004,HIGHFIELD SURGERY,2023/11/1,29,1151.35,34,1451.72,80,184.26,185,986.35,178,9050.73,4,55.36,46,780.11
15F,B86004,HIGHFIELD SURGERY,2023/12/1,31,1387.36,38,1451.83,85,183.15,168,824.43,186,10004.65,9,205.11,49,746.36
15F,B86004,HIGHFIELD SURGERY,2024/1/1,33,1277.47,36,1331.41,75,201.23,185,676.01,178,8377.45,6,83.2,46,617.44
15F,B86004,HIGHFIELD SURGERY,2024/2/1,26,858.19,41,1743.23,77,170.53,166,811.49,193,8878.11,4,47.28,45,634.81
15F,B86004,HIGHFIELD SURGERY,2024/3/1,32,1278.74,30,1219.99,92,200.68,216,1132.63,207,10165.68,9,106.58,48,780.33
15F,B86004,HIGHFIELD SURGERY,2024/4/1,22,1104.99,39,1737.18,74,146.73,190,952.46,200,10246.75,7,92.12,45,764.6
15F,B86004,HIGHFIELD SURGERY,2024/5/1,28,1145.41,34,1472.09,107,191.5,202,1031.03,213,10308.1,4,52.77,48,773.96
15F,B86004,HIGHFIELD SURGERY,2024/6/1,22,758.07,35,1473.38,71,151.5,169,729.53,173,10026.01,2,18.35,48,642.78
15F,B86004,HIGHFIELD SURGERY,2024/7/1,34,1499.88,38,1728.64,68,155.9,225,810.91,204,10466.05,4,73.18,51,651.34
15F,B86004,HIGHFIELD SURGERY,2024/8/1,34,1592.82,39,1812.18,83,184.4,186,839.22,182,8614.31,7,82.68,55,689.8
15F,B86004,HIGHFIELD SURGERY,2024/9/1,33,1396.83,39,1835.02,72,157.33,179,894.06,210,10791.01,7,84.37,46,540.9
15F,B86004,HIGHFIELD SURGERY,2024/10/1,35,1642.19,41,2112,70,122.33,188,886.15,196,9579.93,6,48.64,60,701.43
15F,B86004,HIGHFIELD SURGERY,2024/11/1,22,961.34,26,1046.44,84,156.82,190,889.12,218,10819.5,3,45.96,47,585.21
15F,B86004,HIGHFIELD SURGERY,2024/12/1,31,1489.68,31,1434.9,62,136.32,190,1045.73,195,10410.29,3,45.96,30,322.92
15F,B86004,HIGHFIELD SURGERY,2025/1/1,41,1780.4,38,1819.5,77,159.39,197,673.14,218,11223.39,5,183.1,50,855.21
15F,B86004,HIGHFIELD SURGERY,2025/2/1,29,1264.41,36,1725.79,78,161.48,184,705.11,242,11476.18,5,47.67,43,587.76
15F,B86004,HIGHFIELD SURGERY,2025/3/1,31,1269.87,32,1565.38,60,119.37,184,560.19,188,9326.55,4,52.77,36,377.17
15F,B86004,HIGHFIELD SURGERY,2025/4/1,36,1765.77,34,1740.58,88,178.33,221,668.07,267,13063.53,7,82.28,55,709.88
15F,B86004,HIGHFIELD SURGERY,2025/5/1,35,1585.32,34,1649.87,75,144.06,222,737.7,285,12596.54,4,32.36,60,724.69
15F,B86005,DR N DUMPHY & PARTNERS,2020/6/1,16,615,27,1423.82,64,225.74,247,1150.69,122,3861.22,5,58.52,71,1406.35
15F,B86005,DR N DUMPHY & PARTNERS,2020/7/1,16,465.38,27,1063.8,64,227.19,255,1383.51,141,4328.99,4,17.99,80,1618.62
15F,B86005,DR N DUMPHY & PARTNERS,2020/8/1,17,629.8,26,1239.14,54,183.98,237,1221.36,125,3749.36,2,15.66,58,1229.38
15F,B86005,DR N DUMPHY & PARTNERS,2020/9/1,20,579.79,42,1943.13,61,227.68,255,1401.62,141,4878.88,5,43.73,69,1390.84
15F,B86005,DR N DUMPHY & PARTNERS,2020/10/1,22,775.27,31,1354.22,54,173.9,234,1261.72,105,3872.01,4,37.06,66,1421.96
15F,B86005,DR N DUMPHY & PARTNERS,2020/11/1,18,619.01,34,1544.89,59,203.06,197,1074.21,101,3758.06,3,30.47,71,1357.95
15F,B86005,DR N DUMPHY & PARTNERS,2020/12/1,21,601.28,39,1532.14,58,187.6,250,1317.04,125,4499.99,1,2.33,74,1349.14
15F,B86005,DR N DUMPHY & PARTNERS,2021/1/1,20,503.38,35,1334.91,62,227.18,211,1087.58,107,4065,3,15.69,75,1593.42
15F,B86005,DR N DUMPHY & PARTNERS,2021/2/1,23,767.43,34,1763.86,56,176.49,221,1142.84,110,4192.21,2,9.02,61,1096.11
15F,B86005,DR N DUMPHY & PARTNERS,2021/3/1,23,794.46,43,1797.67,64,216.08,270,1399.49,119,4534.61,2,9.01,78,1407.88
15F,B86005,DR N DUMPHY & PARTNERS,2021/4/1,20,660.86,41,1827.55,74,224.12,242,1093.87,116,4259.89,2,4.68,72,1225.33
15F,B86005,DR N DUMPHY & PARTNERS,2021/5/1,19,679.02,35,1563.38,53,166.52,217,959.72,112,4232.13,1,2.34,66,1216.8
15F,B86005,DR N DUMPHY & PARTNERS,2021/6/1,25,749.65,42,1843.85,61,184.52,226,982.14,116,4241.42,2,9.02,73,1217.97
15F,B86005,DR N DUMPHY & PARTNERS,2021/7/1,20,687.69,37,1441.55,63,179.87,248,967.44,129,4957.23,4,18.06,78,1328.09
15F,B86005,DR N DUMPHY & PARTNERS,2021/8/1,18,722.87,38,1775.08,73,205.76,255,1013.04,128,4692.76,3,15.73,80,1290.22
15F,B86005,DR N DUMPHY & PARTNERS,2021/9/1,21,768.83,44,1994.85,63,165.15,223,890.31,127,4855.53,4,22.4,95,1442.8
15F,B86005,DR N DUMPHY & PARTNERS,2021/10/1,25,785.87,42,1963.11,78,200.25,245,853.47,123,4374.06,2,4.68,84,1338.03
15F,B86005,DR N DUMPHY & PARTNERS,2021/11/1,24,816.59,47,1924.12,74,174.12,234,813.39,140,5157.19,1,6.69,87,1285.55
15F,B86005,DR N DUMPHY & PARTNERS,2021/12/1,22,878.22,37,1746.93,96,249.77,261,942.6,138,5193.42,1,6.7,97,1441.38
15F,B86005,DR N DUMPHY & PARTNERS,2022/1/1,16,526.61,38,1706.9,68,136.96,226,656.79,123,4723.38,4,18.12,87,1356.72
15F,B86005,DR N DUMPHY & PARTNERS,2022/2/1,18,600.12,36,1470.05,72,163.15,217,612.31,117,4356.98,3,11.42,79,1311.29
15F,B86005,DR N DUMPHY & PARTNERS,2022/3/1,21,747.99,44,1684.53,77,158.22,244,720.87,148,5553.27,2,9.06,116,1805.77
15F,B86005,DR N DUMPHY & PARTNERS,2022/4/1,23,748.8,30,1242.72,71,156.75,220,620.47,135,4984.55,2,4.7,89,1347.87
15F,B86005,DR N DUMPHY & PARTNERS,2022/5/1,17,567.05,47,1988.03,74,145.63,226,655.4,144,5390.93,1,2.35,91,1502.33
15F,B86005,DR N DUMPHY & PARTNERS,2022/6/1,22,640.12,45,1958.56,70,171.61,248,687.73,156,5876.45,1,2.35,72,1064.26
15F,B86005,DR N DUMPHY & PARTNERS,2022/7/1,17,613.3,40,1422.09,74,145.55,247,656.09,172,6588.8,0,0,90,1319.94
15F,B86005,DR N DUMPHY & PARTNERS,2022/8/1,22,614.22,43,1873.53,66,134.5,236,638.03,167,6483.65,2,9.05,76,1072.75
15F,B86005,DR N DUMPHY & PARTNERS,2022/9/1,14,382.12,39,1392.78,66,142.71,252,631.45,177,7188.5,1,2.35,85,1215.64
15F,B86005,DR N DUMPHY & PARTNERS,2022/10/1,31,1010.74,51,1944.34,67,138.36,244,598.79,184,7155.87,0,0,82,1185.19
15F,B86005,DR N DUMPHY & PARTNERS,2022/11/1,23,727.87,47,2158.81,76,158.6,291,763.51,200,7840.37,2,9.05,101,1568.76
15F,B86005,DR N DUMPHY & PARTNERS,2022/12/1,21,616.69,42,1545.28,61,125.72,260,680.3,194,7602.31,1,2.35,86,1230.42
15F,B86005,DR N DUMPHY & PARTNERS,2023/1/1,20,684.94,46,1886.75,59,147.7,232,618.33,168,6869.17,2,13.44,95,1270.26
15F,B86005,DR N DUMPHY & PARTNERS,2023/2/1,24,861.4,48,2044.34,58,122.61,238,619.23,172,6855.17,4,22.53,86,1290.33
15F,B86005,DR N DUMPHY & PARTNERS,2023/3/1,23,824.47,48,2174.59,60,154.46,264,697.38,188,8006.25,3,15.8,118,1706.49
15F,B86005,DR N DUMPHY & PARTNERS,2023/4/1,20,584.07,49,2030.4,54,116.74,232,725.9,181,7661.59,3,15.87,94,1189.04
15F,B86005,DR N DUMPHY & PARTNERS,2023/5/1,24,765.54,45,2094.9,52,130.15,231,703.79,183,7652.15,5,29.38,91,1197.76
15F,B86005,DR N DUMPHY & PARTNERS,2023/6/1,18,719.15,45,1758.83,67,156.11,253,750.91,200,8234.01,1,6.75,97,1358.99
15F,B86005,DR N DUMPHY & PARTNERS,2023/7/1,23,691.2,44,1913.05,53,121.44,244,735.39,187,7460.57,3,7.05,81,1214.25
15F,B86005,DR N DUMPHY & PARTNERS,2023/8/1,30,852.06,55,2172.04,60,126.11,260,702.39,178,6507.38,3,11.42,107,1367.33
15F,B86005,DR N DUMPHY & PARTNERS,2023/9/1,21,947.87,41,1796.39,65,133.75,254,662.7,182,6761.56,6,31.53,102,1333.14
15F,B86005,DR N DUMPHY & PARTNERS,2023/10/1,27,898.37,46,1769.54,60,132.46,242,650.15,184,7174.58,8,36.28,103,1522.26
15F,B86005,DR N DUMPHY & PARTNERS,2023/11/1,26,1009.35,53,2275.31,62,112.35,265,667.08,175,6524.78,8,53.92,94,1256.2
15F,B86005,DR N DUMPHY & PARTNERS,2023/12/1,37,1394.91,60,2388.77,79,149.57,305,782.49,225,8804.89,4,26.67,124,1640.9
15F,B86005,DR N DUMPHY & PARTNERS,2024/1/1,22,567.5,42,1939.5,59,115.34,233,610.81,174,6308.53,9,370.88,85,1007.39
15F,B86005,DR N DUMPHY & PARTNERS,2024/2/1,21,682.67,37,1350.52,68,143.16,255,780.45,180,6794.93,5,33.5,89,1097.43
15F,B86005,DR N DUMPHY & PARTNERS,2024/3/1,26,759.62,42,1897.21,67,136.02,245,672.79,200,6883.9,0,0,99,1167.74
15F,B86005,DR N DUMPHY & PARTNERS,2024/4/1,32,1112.05,51,2079.46,73,128.1,305,790.04,233,8407.08,5,34.07,111,1338.74
15F,B86005,DR N DUMPHY & PARTNERS,2024/5/1,21,753.11,44,2140.14,68,117.19,282,829.75,228,8125.13,4,42.89,99,1249.43
15F,B86005,DR N DUMPHY & PARTNERS,2024/6/1,27,969.73,45,1739.77,62,111.37,246,613.91,178,6304.52,2,29.87,100,1218.06
15F,B86005,DR N DUMPHY & PARTNERS,2024/7/1,21,793.08,45,2079.83,75,147.83,293,971.47,224,7933.22,4,43.2,93,1080.45
15F,B86005,DR N DUMPHY & PARTNERS,2024/8/1,24,727.46,47,2024.65,75,133.91,301,866.21,234,8363.32,5,45.58,103,1253.07
15F,B86005,DR N DUMPHY & PARTNERS,2024/9/1,26,842.49,47,2003.21,65,116.5,277,828.67,209,7276.37,2,13.63,95,1079.95
15F,B86005,DR N DUMPHY & PARTNERS,2024/10/1,27,900.5,48,2239.58,66,105.28,263,795.26,208,7075.18,5,45.28,102,1245.55
15F,B86005,DR N DUMPHY & PARTNERS,2024/11/1,25,853.42,48,1881.83,61,107.28,284,852.78,242,8413.88,0,0,95,1123.83
15F,B86005,DR N DUMPHY & PARTNERS,2024/12/1,25,867.7,43,1851.73,75,124.78,285,771.54,222,7573.72,1,2.38,89,995.35
15F,B86005,DR N DUMPHY & PARTNERS,2025/1/1,26,904.57,49,2018.11,65,123.3,320,778.37,257,8520.55,2,9.2,92,1051.32
15F,B86005,DR N DUMPHY & PARTNERS,2025/2/1,24,808.92,42,1705.48,65,111.66,258,647.35,207,7603.27,0,0,80,884.87
15F,B86005,DR N DUMPHY & PARTNERS,2025/3/1,23,810.61,49,2288.72,58,88.2,259,641.62,220,7643.48,2,9.2,69,802.58
15F,B86005,DR N DUMPHY & PARTNERS,2025/4/1,22,669.77,39,1395.27,82,140.85,293,711.5,240,8379.91,0,0,78,634.16
15F,B86005,DR N DUMPHY & PARTNERS,2025/5/1,32,1114.88,54,2026.74,72,114.63,313,757.72,249,9024.46,1,6.81,86,774.74
15F,B86006,OULTON MEDICAL CENTRE,2020/6/1,48,2268.01,108,5829.46,146,447.61,337,2201.67,164,8445.24,4,33.31,137,3338.04
15F,B86006,OULTON MEDICAL CENTRE,2020/7/1,56,2554.98,113,5782.37,130,448.16,324,2091.44,157,7974.44,14,131.22,148,3643.32
15F,B86006,OULTON MEDICAL CENTRE,2020/8/1,46,2070.55,103,5460.01,121,373.94,312,2260.46,153,7471.38,8,115.07,128,3653.81
15F,B86006,OULTON MEDICAL CENTRE,2020/9/1,50,2097.6,120,6315.26,131,486.76,334,2273.69,173,9470.99,13,115.86,122,2777.93
15F,B86006,OULTON MEDICAL CENTRE,2020/10/1,54,2431.31,108,5848.05,126,379.26,329,2231.91,157,7233.57,7,79.85,147,3773.68
15F,B86006,OULTON MEDICAL CENTRE,2020/11/1,46,2051.09,104,5599.96,125,429.42,350,2230.4,175,8971.84,6,42.36,129,3295.06
15F,B86006,OULTON MEDICAL CENTRE,2020/12/1,66,3192.67,123,6581.44,140,424.3,349,2218.34,183,8511.13,8,75.29,159,4222.08
15F,B86006,OULTON MEDICAL CENTRE,2021/1/1,49,2256.43,107,5279.63,126,406.79,353,2202.07,175,8648.3,5,43.83,136,3269.85
15F,B86006,OULTON MEDICAL CENTRE,2021/2/1,44,2167.39,99,5173.16,121,381.2,307,1879.32,154,7461.18,6,63.86,133,2910.95
15F,B86006,OULTON MEDICAL CENTRE,2021/3/1,60,2912.82,108,5706.73,146,480.36,349,2066.04,189,8920.73,18,166.86,152,3112.94
15F,B86006,OULTON MEDICAL CENTRE,2021/4/1,52,2423.48,111,5540.65,147,465.4,384,1932.67,195,9796.3,10,105.71,158,3340.44
15F,B86006,OULTON MEDICAL CENTRE,2021/5/1,51,2301.87,109,5414.22,136,426.13,342,1820.73,181,8766.89,12,99.95,147,3323.96
15F,B86006,OULTON MEDICAL CENTRE,2021/6/1,62,2815.51,129,6292.31,137,474.09,360,1802.15,194,9258.74,8,71.74,163,3335.81
